Territorio,Età,Sesso,Causa iniziale di morte - European Short List
Centro,85-89 anni,maschi,"ulcera dello stomaco, duodeno e digiuno"
Centro,40-44 anni,maschi,di cui tumori maligni del rene
Centro,75-79 anni,totale,aids (malattia da hiv)
Centro,75-79 anni,totale,"cirrosi, fibrosi ed epatite cronica"
Centro,totale,maschi,di cui infarto miocardico acuto
Centro,60-64 anni,maschi,di cui tumori maligni della prostata
Centro,30-34 anni,maschi,aids (malattia da hiv)
Centro,90-94 anni,maschi,di cui tumori maligni del rene
Centro,35-39 anni,totale,accidenti
Centro,85-89 anni,totale,di cui leucemia
Centro,40-44 anni,maschi,di cui melanomi maligni della cute
Centro,90-94 anni,femmine,accidenti
Centro,35-39 anni,maschi,altre malattie dell'apparato digerente
Centro,60-64 anni,totale,malattie croniche delle basse vie respiratorie
Centro,50-54 anni,totale,suicidio e autolesione intenzionale
Centro,10-14 anni,totale,accidenti
Centro,totale,femmine,cause sconosciute e non specificate
Centro,totale,femmine,alcune condizioni morbose che hanno origine nel periodo perinatale
Centro,65-69 anni,maschi,tumori
Centro,totale,maschi,di cui tumori maligni della vescica
Centro,70-74 anni,femmine,malattie del sistema circolatorio
Centro,40-44 anni,maschi,diabete mellito
Centro,50-54 anni,totale,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,60-64 anni,femmine,di cui tumori maligni dell'ovaio
Centro,80-84 anni,maschi,di cui altri tumori maligni
Centro,25-29 anni,totale,altre malattie del sistema circolatorio
Centro,30-34 anni,maschi,altre malattie del sistema respiratorio
Centro,55-59 anni,femmine,tumori
Centro,35-39 anni,maschi,"dipendenza da droghe, tossicomania"
Centro,20-24 anni,totale,disturbi psichici e comportamentali
Centro,55-59 anni,maschi,di cui morbo di hodgkin e linfomi
Centro,45-49 anni,maschi,malattie del sistema respiratorio
Centro,90-94 anni,totale,di cui tumori maligni dello stomaco
Centro,50-54 anni,maschi,di cui accidenti di trasporto
Centro,45-49 anni,maschi,epatite virale
Centro,60-64 anni,totale,aids (malattia da hiv)
Centro,5-9 anni,maschi,tumori
Centro,95 anni e più,maschi,altre malattie del sistema circolatorio
Centro,30-34 anni,femmine,Covid-19
Centro,40-44 anni,maschi,malattie del sistema circolatorio
Centro,15-19 anni,totale,"sintomi, segni, risultati anomali e cause mal definite"
Centro,35-39 anni,maschi,totale
Centro,25-29 anni,maschi,tumori non maligni (benigni e di comportamento incerto)
Centro,75-79 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Centro,70-74 anni,maschi,demenza
Centro,60-64 anni,maschi,cause sconosciute e non specificate
Centro,50-54 anni,totale,demenza
Centro,35-39 anni,totale,di cui tumori maligni del rene
Centro,totale,totale,Covid-19
Centro,55-59 anni,maschi,malattie dell'apparato genitourinario
Centro,40-44 anni,maschi,di cui altri accidenti
Centro,60-64 anni,maschi,"malattie endocrine, nutrizionali e metaboliche"
Centro,95 anni e più,femmine,disturbi psichici e comportamentali
Centro,95 anni e più,femmine,cause sconosciute e non specificate
Centro,totale,maschi,di cui tumori maligni del pancreas
Centro,65-69 anni,totale,suicidio e autolesione intenzionale
Centro,55-59 anni,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,5-9 anni,maschi,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,totale,femmine,di cui melanomi maligni della cute
Centro,totale,totale,di cui altre malattie croniche delle basse vie respiratorie
Centro,80-84 anni,femmine,di cui tumori maligni di altre parti dell'utero
Centro,55-59 anni,maschi,di cui infarto miocardico acuto
Centro,80-84 anni,maschi,di cui tumori maligni della laringe
Centro,15-19 anni,maschi,suicidio e autolesione intenzionale
Centro,85-89 anni,maschi,di cui altri tumori maligni
Centro,80-84 anni,totale,demenza
Centro,25-29 anni,maschi,di cui cadute accidentali
Centro,5-9 anni,maschi,accidenti
Centro,50-54 anni,totale,"Covid-19, virus identificato"
Centro,75-79 anni,femmine,di cui morbo di hodgkin e linfomi
Centro,90-94 anni,maschi,tumori non maligni (benigni e di comportamento incerto)
Centro,35-39 anni,femmine,altre malattie del sistema circolatorio
Centro,40-44 anni,totale,di cui tumori maligni della cervice uterina
Centro,80-84 anni,maschi,di cui tumori maligni della vescica
Centro,85-89 anni,totale,tumori maligni
Centro,90-94 anni,maschi,"Covid-19, virus non identificato"
Centro,35-39 anni,totale,di cui infarto miocardico acuto
Centro,70-74 anni,totale,polmonite
Centro,65-69 anni,totale,disturbi psichici e comportamentali
Centro,70-74 anni,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Centro,45-49 anni,maschi,di cui leucemia
Centro,totale,maschi,influenza
Centro,totale,maschi,abuso di alcool (compresa psicosi alcolica)
Centro,30-34 anni,maschi,altre malattie infettive e parassitarie
Centro,60-64 anni,totale,alcune condizioni morbose che hanno origine nel periodo perinatale
Centro,60-64 anni,maschi,di cui cadute accidentali
Centro,65-69 anni,maschi,di cui morbo di hodgkin e linfomi
Centro,10-14 anni,maschi,malattie del sistema nervoso e degli organi di senso
Centro,95 anni e più,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,20-24 anni,femmine,di cui tumori maligni dello stomaco
Centro,15-19 anni,maschi,di cui tumori maligni del rene
Centro,45-49 anni,totale,malattie ischemiche del cuore
Centro,20-24 anni,totale,"Covid-19, virus identificato"
Centro,35-39 anni,totale,altre malattie del sistema respiratorio
Centro,55-59 anni,maschi,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,85-89 anni,femmine,Covid-19
Centro,25-29 anni,totale,di cui infarto miocardico acuto
Centro,40-44 anni,maschi,tumori maligni
Centro,75-79 anni,femmine,altre malattie dell'apparato digerente
Centro,65-69 anni,totale,malattie del rene e dell'uretere
Centro,85-89 anni,maschi,di cui avvelenamento accidentale
Centro,60-64 anni,maschi,aids (malattia da hiv)
Centro,95 anni e più,totale,"cirrosi, fibrosi ed epatite cronica"
Centro,55-59 anni,maschi,malattie del rene e dell'uretere
Centro,65-69 anni,totale,malattie della cute e del tessuto sottocutaneo
Centro,60-64 anni,maschi,"altri sintomi, segni, risultati anomali e cause mal definite"
Centro,95 anni e più,femmine,altre malattie dell'apparato digerente
Centro,65-69 anni,maschi,totale
Centro,5-9 anni,totale,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,95 anni e più,maschi,altre malattie dell'apparato digerente
Centro,15-19 anni,totale,malattie cerebrovascolari
Centro,35-39 anni,maschi,tumori
Centro,20-24 anni,femmine,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,totale,totale,altre malattie del cuore
Centro,80-84 anni,femmine,"altri sintomi, segni, risultati anomali e cause mal definite"
Centro,80-84 anni,maschi,suicidio e autolesione intenzionale
Centro,60-64 anni,femmine,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,85-89 anni,totale,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,15-19 anni,totale,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,80-84 anni,totale,altre malattie del sistema circolatorio
Centro,95 anni e più,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,75-79 anni,maschi,di cui altri tumori maligni
Centro,90-94 anni,totale,tubercolosi
Centro,45-49 anni,maschi,cause esterne di traumatismo e avvelenamento
Centro,80-84 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,35-39 anni,totale,"complicazioni della gravidanza, del parto e del puerperio"
Centro,70-74 anni,femmine,malattie del sistema respiratorio
Centro,70-74 anni,femmine,di cui tumori maligni dell'ovaio
Centro,40-44 anni,femmine,disturbi psichici e comportamentali
Centro,20-24 anni,femmine,malattie del sistema circolatorio
Centro,95 anni e più,totale,"malattie endocrine, nutrizionali e metaboliche"
Centro,45-49 anni,femmine,malattie della cute e del tessuto sottocutaneo
Centro,60-64 anni,totale,diabete mellito
Centro,60-64 anni,maschi,"cirrosi, fibrosi ed epatite cronica"
Centro,totale,totale,di cui altri tumori maligni
Isole,40-44 anni,femmine,altre malattie del sistema respiratorio
Isole,70-74 anni,totale,"ulcera dello stomaco, duodeno e digiuno"
Isole,30-34 anni,femmine,altre malattie del sistema circolatorio
Isole,70-74 anni,maschi,malattie del sistema circolatorio
Isole,80-84 anni,totale,malattie croniche delle basse vie respiratorie
Isole,30-34 anni,totale,malattie della cute e del tessuto sottocutaneo
Isole,80-84 anni,maschi,di cui tumori maligni del rene
Isole,65-69 anni,femmine,malattie dell'apparato digerente
Isole,35-39 anni,totale,influenza
Isole,50-54 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Isole,75-79 anni,totale,accidenti
Isole,75-79 anni,femmine,di cui cadute accidentali
Isole,65-69 anni,totale,Covid-19
Isole,50-54 anni,femmine,di cui accidenti di trasporto
Isole,45-49 anni,totale,di cui infarto miocardico acuto
Isole,0 anni,femmine,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Isole,40-44 anni,femmine,cause sconosciute e non specificate
Isole,15-19 anni,femmine,di cui leucemia
Isole,30-34 anni,totale,di cui accidenti di trasporto
Isole,0 anni,totale,altre malattie del cuore
Isole,70-74 anni,totale,malattie ischemiche del cuore
Isole,55-59 anni,femmine,cause esterne di traumatismo e avvelenamento
Isole,80-84 anni,maschi,"Covid-19, virus identificato"
Isole,90-94 anni,totale,"Covid-19, virus non identificato"
Isole,45-49 anni,maschi,di cui leucemia
Isole,30-34 anni,totale,altre malattie del sistema circolatorio
Isole,90-94 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Isole,5-9 anni,totale,di cui cadute accidentali
Isole,65-69 anni,totale,malformazioni congenite ed anomalie cromosomiche
Isole,70-74 anni,totale,di cui tumori maligni del rene
Isole,25-29 anni,femmine,malattie croniche delle basse vie respiratorie
Isole,85-89 anni,maschi,di cui tumori maligni del pancreas
Isole,20-24 anni,totale,malattie del sistema circolatorio
Isole,40-44 anni,maschi,"di cui tumori maligni del colon, del retto e dell'ano"
Isole,90-94 anni,totale,malattie del sistema nervoso e degli organi di senso
Isole,45-49 anni,maschi,di cui accidenti di trasporto
Isole,35-39 anni,maschi,di cui altre malattie croniche delle basse vie respiratorie
Isole,90-94 anni,maschi,malattia di alzheimer
Isole,75-79 anni,totale,altre malattie del cuore
Isole,90-94 anni,maschi,"Covid-19, virus identificato"
Isole,45-49 anni,maschi,"malattie endocrine, nutrizionali e metaboliche"
Isole,50-54 anni,maschi,"omicidio, aggressione"
Isole,55-59 anni,femmine,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Isole,15-19 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Isole,70-74 anni,totale,epatite virale
Isole,45-49 anni,totale,accidenti
Isole,75-79 anni,maschi,Covid-19
Isole,45-49 anni,maschi,malattie del rene e dell'uretere
Isole,totale,femmine,di cui accidenti di trasporto
Isole,65-69 anni,totale,"sintomi, segni, risultati anomali e cause mal definite"
Isole,40-44 anni,totale,di cui tumori maligni della vescica
Isole,95 anni e più,femmine,di cui altri accidenti
Isole,40-44 anni,femmine,du cui altre malattie ischemiche del cuore
Isole,25-29 anni,totale,"Covid-19, virus identificato"
Isole,95 anni e più,femmine,epatite virale
Isole,90-94 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Isole,75-79 anni,femmine,di cui tumori maligni del rene
Isole,65-69 anni,totale,di cui tumori maligni del rene
Isole,50-54 anni,maschi,"malattie endocrine, nutrizionali e metaboliche"
Isole,75-79 anni,femmine,"omicidio, aggressione"
Isole,45-49 anni,maschi,alcune condizioni morbose che hanno origine nel periodo perinatale
Isole,35-39 anni,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Isole,45-49 anni,femmine,"di cui tumori maligni del colon, del retto e dell'ano"
Isole,95 anni e più,totale,tumori
Isole,60-64 anni,maschi,"di cui tumori maligni delle labbra, cavità orale e faringe"
Isole,50-54 anni,femmine,di cui tumori maligni dell'esofago
Isole,65-69 anni,maschi,di cui altri accidenti
Isole,65-69 anni,femmine,tumori
Isole,25-29 anni,totale,di cui altre malattie croniche delle basse vie respiratorie
Isole,40-44 anni,totale,polmonite
Isole,65-69 anni,femmine,altre malattie del sistema circolatorio
Isole,95 anni e più,femmine,malattia di alzheimer
Isole,35-39 anni,femmine,suicidio e autolesione intenzionale
Isole,55-59 anni,totale,di cui tumori maligni dell'ovaio
Isole,55-59 anni,femmine,altre malattie dell'apparato genitourinario
Isole,75-79 anni,femmine,di cui altre malattie croniche delle basse vie respiratorie
Isole,80-84 anni,totale,di cui accidenti di trasporto
Isole,75-79 anni,totale,polmonite
Isole,40-44 anni,totale,di cui tumori maligni del seno
Isole,totale,totale,demenza
Isole,40-44 anni,maschi,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Isole,totale,femmine,di cui altri tumori maligni
Isole,55-59 anni,femmine,altre malattie del sistema circolatorio
Isole,85-89 anni,femmine,di cui annegamento e sommersione accidentali
Isole,5-9 anni,femmine,tumori
Isole,85-89 anni,femmine,cause sconosciute e non specificate
Isole,50-54 anni,femmine,di cui infarto miocardico acuto
Isole,35-39 anni,femmine,di cui tumori maligni dello stomaco
Isole,45-49 anni,maschi,totale
Isole,50-54 anni,femmine,di cui tumori maligni della cervice uterina
Isole,45-49 anni,totale,di cui tumori maligni della vescica
Isole,60-64 anni,femmine,malattie ischemiche del cuore
Isole,85-89 anni,femmine,malattie della cute e del tessuto sottocutaneo
Isole,40-44 anni,totale,malattie cerebrovascolari
Isole,85-89 anni,totale,di cui leucemia
Isole,80-84 anni,femmine,aids (malattia da hiv)
Isole,35-39 anni,femmine,"di cui tumori maligni del colon, del retto e dell'ano"
Isole,30-34 anni,totale,cause sconosciute e non specificate
Isole,70-74 anni,femmine,influenza
Isole,50-54 anni,maschi,di cui tumori maligni del seno
Isole,75-79 anni,maschi,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Isole,80-84 anni,femmine,Covid-19
Isole,95 anni e più,femmine,malattie del sistema nervoso e degli organi di senso
Isole,95 anni e più,maschi,tumori
Isole,70-74 anni,totale,altre malattie del sistema osteomuscolare e del tessuto connettivo
Isole,70-74 anni,totale,di cui altre malattie croniche delle basse vie respiratorie
Isole,60-64 anni,totale,di cui infarto miocardico acuto
Isole,85-89 anni,femmine,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Isole,55-59 anni,totale,di cui cadute accidentali
Isole,75-79 anni,maschi,tumori
Isole,20-24 anni,totale,tumori maligni
Isole,95 anni e più,totale,malattie ischemiche del cuore
Isole,85-89 anni,maschi,"altre malattie endocrine, nutrizionali e metaboliche"
Isole,90-94 anni,femmine,di cui melanomi maligni della cute
Isole,25-29 anni,maschi,di cui leucemia
Isole,40-44 anni,femmine,altri disturbi psichici e comportamentali
Isole,totale,maschi,epatite virale
Isole,25-29 anni,totale,"malattie endocrine, nutrizionali e metaboliche"
Isole,5-9 anni,totale,polmonite
Isole,55-59 anni,totale,altri disturbi psichici e comportamentali
Isole,15-19 anni,totale,totale
Isole,50-54 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Isole,40-44 anni,maschi,di cui cadute accidentali
Isole,10-14 anni,maschi,di cui tumori maligni del cervello e del sistema nervoso centrale
Isole,40-44 anni,femmine,tumori
Isole,25-29 anni,maschi,di cui tumori maligni del cervello e del sistema nervoso centrale
Isole,90-94 anni,femmine,di cui tumori maligni del pancreas
Isole,90-94 anni,femmine,cause sconosciute e non specificate
Isole,75-79 anni,totale,altre malattie dell'apparato genitourinario
Isole,95 anni e più,totale,malattie dell'apparato genitourinario
Isole,95 anni e più,femmine,di cui tumori maligni del pancreas
